fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	is_unbalance	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	min_gain_to_split	ganancia	iteracion
20220601 170618	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	327	TRUE	TRUE	0.279163347665779	0.610063386299494	2498	247	0.0114620530495125	10.2949344566942	69.3870002601635	0.387291079160694	8485000	106
20220601 170645	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	284	TRUE	TRUE	0.243044993592166	0.686126878427065	1605	50	0.00958983723873174	55.5327662697582	48.1855352279823	0.00345222335072858	7168000	107
20220601 170710	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	310	TRUE	TRUE	0.297117977923403	0.878014851708356	5810	221	0.0477991579798835	41.0579030914678	12.5604404723926	0.243620523030117	4505000	108
20220601 170728	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	153	TRUE	TRUE	0.241788633471231	0.230009114372837	3446	789	0.049265857706096	99.6416110360938	0.0695908116607833	245.446035124205	1158000	109
20220601 170759	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	305	TRUE	TRUE	0.265447209689737	0.716095384671028	2884	644	0.0379912217105551	0.028010205661046	99.3955337204999	0.577217862442885	8883000	110
20220601 170843	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	416	TRUE	TRUE	0.192945188195513	0.950154196724127	1748	730	0.0372571291605168	0.00987175556433487	67.952993390046	0.143678866527035	9955000	111
20220601 170906	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	168	TRUE	TRUE	0.274494147115192	0.523443596044018	7748	1021	0.0411488285500373	0.581950451082508	24.6322720584285	997.278178653382	-284000	112
20220601 171008	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	1	TRUE	TRUE	0.00744412582556558	0.938088857982202	1233	137	0.0109058532115777	99.1366953169133	4.02785416709441	0.399067995823206	2278000	113
20220601 171040	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	289	TRUE	TRUE	0.197064951960247	0.999116660361845	1950	680	0.00996638316548236	0.443343968544896	63.4445564692578	0.147672858263218	8938000	114
20220601 171050	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	3	TRUE	TRUE	0.292591777009591	0.765789534794424	41	298	0.0484431874325224	1.86996738861789	0.500035583332909	815.115647547081	6361000	115
20220601 171059	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	3	TRUE	TRUE	0.299792754273112	0.992036562181075	135	760	0.0422297024431314	54.3083992265168	0.136581058720792	967.553480943519	1508000	116
20220601 171111	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	30	TRUE	TRUE	0.271738321040433	0.566914488755183	3230	611	0.0499001768275386	0.358008217920004	0.0882831417303955	757.891210842838	-4644000	117
20220601 171118	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	28	TRUE	TRUE	0.299434799962516	0.969511845537192	1	93	0.0467924022532849	1.43479668143943	35.1202082337259	927.677486326442	-1327000	118
20220601 171149	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	449	TRUE	TRUE	0.283398845854127	0.681066334274868	7953	897	0.0384781378335198	1.01757813763081	66.6114798391171	1.19319965008102	7089000	119
20220601 171308	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	31	804	TRUE	TRUE	0.241152175001574	0.566996319925838	7800	960	0.0196486372235964	45.2796601623733	21.654255867556	0.0640719985185367	7015000	120
